dataset_version,model_name,imbalance_method,best_params,cv_best_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
standard_scaled,svm,class_weight,"{""model__C"": 5, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}",0.7210434782608696,0.6698113207547169,0.25245901639344265,0.5968992248062015,0.3548387096774194,0.689712240299296
robust_scaled,svm,class_weight,"{""model__C"": 5, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}",0.7209860700717602,0.6686320754716981,0.25163398692810457,0.5968992248062015,0.35402298850574715,0.6895882524177638
unscaled,svm,smote,"{""model__C"": 5, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}",0.7174875474883917,0.625,0.2396694214876033,0.6744186046511628,0.35365853658536583,0.6881596963914136
unscaled,svm,smote+class_weight,"{""model__C"": 5, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}",0.7174875474883917,0.625,0.2396694214876033,0.6744186046511628,0.35365853658536583,0.6881596963914136
standard_scaled,svm,smote,"{""model__C"": 5, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}",0.7211346559729844,0.6509433962264151,0.24464831804281345,0.6201550387596899,0.3508771929824561,0.6876367909779948
standard_scaled,svm,smote+class_weight,"{""model__C"": 5, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}",0.7211346559729844,0.6509433962264151,0.24464831804281345,0.6201550387596899,0.3508771929824561,0.6876367909779948
robust_scaled,svm,smote,"{""model__C"": 5, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}",0.7209286618826508,0.6509433962264151,0.24464831804281345,0.6201550387596899,0.3508771929824561,0.6888874513482335
robust_scaled,svm,smote+class_weight,"{""model__C"": 5, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}",0.7209286618826508,0.6509433962264151,0.24464831804281345,0.6201550387596899,0.3508771929824561,0.6888874513482335
unscaled,logistic_regression,smote,"{""model__C"": 10, ""model__penalty"": ""l2""}",0.7198446601941748,0.6462264150943396,0.24169184290030213,0.6201550387596899,0.34782608695652173,0.687550538538668
unscaled,logistic_regression,smote+class_weight,"{""model__C"": 10, ""model__penalty"": ""l2""}",0.7198446601941748,0.6462264150943396,0.24169184290030213,0.6201550387596899,0.34782608695652173,0.687550538538668
unscaled,svm,class_weight,"{""model__C"": 5, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}",0.7224347826086956,0.6639150943396226,0.24509803921568626,0.5813953488372093,0.3448275862068966,0.6827743097109464
unscaled,logistic_regression,class_weight,"{""model__C"": 10, ""model__penalty"": ""l1""}",0.7213575348248207,0.6568396226415094,0.24203821656050956,0.5891472868217055,0.3431151241534989,0.6868066112494744
robust_scaled,logistic_regression,class_weight,"{""model__C"": 1, ""model__penalty"": ""l2""}",0.7213811734909246,0.6568396226415094,0.24203821656050956,0.5891472868217055,0.3431151241534989,0.6867850481396427
robust_scaled,logistic_regression,smote,"{""model__C"": 0.1, ""model__penalty"": ""l2""}",0.7202498944702407,0.6462264150943396,0.23853211009174313,0.6046511627906976,0.34210526315789475,0.6861597179545235
robust_scaled,logistic_regression,smote+class_weight,"{""model__C"": 0.1, ""model__penalty"": ""l2""}",0.7202498944702407,0.6462264150943396,0.23853211009174313,0.6046511627906976,0.34210526315789475,0.6861597179545235
standard_scaled,logistic_regression,class_weight,"{""model__C"": 0.1, ""model__penalty"": ""l2""}",0.7214318277754327,0.6544811320754716,0.24050632911392406,0.5891472868217055,0.3415730337078652,0.6867850481396427
